Nom du magasin,Enseigne,Région,Adresse,Latitude,Longitude
BO OPTIC INGWILLER,Autre,Grand Est,"147A Rue du Général de Gaulle, 67340 Ingwiller",48.8726,7.4813
BOUCHARDON VISION,Autre,Auvergne-Rhône-Alpes,"14-16 RUE PORTE SAINT-PIERRE, 3100 Montluçon",46.3415,2.6024
C2H KRYS LA BRESSE,Autre,Grand Est,"27 QUAI DES IRANEES, 88250 LA BRESSE",47.9944,6.8807
CG OPTIC / Générale d'Optique MARMANDE,Autre,Nouvelle-Aquitaine,"147 Avenue Jean Jaurès, 47200 Marmande",44.5048,0.1653
GALAN Optique,Autre,Occitanie,"34 rue Jean Jaurès, Carbonne 31390",43.3057,1.2287
GENERALE D’OPTIQUE (ASCJ VISION MONTAYRAL),Autre,Nouvelle-Aquitaine,"20 AVENUE DE FUMEL, 47300 Villeneuve-sur-Lot",44.3997,0.7089
GRANDOPTICAL MUNDOLSHEIM,Autre,Grand Est,"Rte de Brumath Centre Commercial Cora, Route Nationale 63, 67450 Mundolsheim",48.6315,7.7078
Jobal expansion Optic (LISSAC),Autre,Grand Est,"21-25 rue du Maréchal Foch, 57700 HAYANGE",49.3276,6.0517
K-OPTIC CREUTZWALD (Optique Bourgmayer),Autre,Grand Est,"28 RUE DE LA HOUVE, 57150 CREUTZWALD",49.208,6.699
KRYS ANICHE,Autre,Hauts-de-France,"33 RUE PATOUX, 59580 Aniche",50.325,3.278
KRYS SAINT-AVOLD,Autre,Grand Est,"16 RUE DU GENERAL HIRSCHAUER, 57500 SAINT-AVOLD",49.104,6.706
L'Opticien Discounteur BESSONCOURT,Autre,Bourgogne-Franche-Comté,"1 avenue des tilleuls – Zone Commerciale « La Porte de Belfort », 90160 Bessoncourt",47.635,7.010
L’Opticien Discounteur HÉRICOURT,Autre,Bourgogne-Franche-Comté,"2 rue du Général Charles de Gaulle, 70400 Héricourt",47.573,6.760
Le Collectif des Lunetiers (ALBERT),Autre,Hauts-de-France,"Chemin croisé de Bellevue (Zone Commercial Bellevue), 80300 Albert",50.000,2.653
LES LUNETTES DE CLEA,Autre,Occitanie,"657 D Route de Montauban Centre Cial les Chanterelles, 31660 Bessières",43.775,1.617
Les Lunettes de Virginie,Autre,Grand Est,"10 Rue Gambetta, 54190 Villerupt",49.482,5.854
LES OPTICIENNES AUTERIVE,Autre,Occitanie,"1 RUE DES PALMIERS, 31190 AUTERIVE",43.353,1.471
LES OPTICIENS CEVENOLS - JOYEUSE,Autre,Auvergne-Rhône-Alpes,"16 PLACE DE LA GARE, 07260 JOYEUSE",44.481,4.237
Les Opticiens GUILLON,Autre,Bourgogne-Franche-Comté,"65 Rue de la République, 71700 Tournus",46.5621,4.9132
OPTIC 2000 - FLERS,Autre,Normandie,"17 rue du 6 juin, 61100 FLERS",48.7465,-0.5732
OPTIC 2000 - LOURDES - CW Optique,Autre,Occitanie,"12, Rue de la Grotte, 65100 Lourdes",43.0950,-0.0467
OPTIC 2000 AUGNY,Autre,Grand Est,"29 Rue du Bois d'Orly, 57685 Augny",49.0725,6.1421
OPTIC 2000 CHAGNY,Autre,Bourgogne-Franche-Comté,"16 rue du Bourg, 71150 CHAGNY",46.9103,4.7544
OPTIC 2000 DIEUZE (BRESCACIN PATRICIA),Autre,Grand Est,3 place du marché – 57260 Dieuze,48.8156,6.7173
OPTIC 2000 FAULQUEMONT (SAS MALAU),Autre,Grand Est,1 PLACE DU MARCHE – 57380 FAULQUEMONT,49.0465,6.5914
OPTIC 2000 MONTBRISON,Autre,Auvergne-Rhône-Alpes,"35 rue Tupinerie, 42600 Montbrison",45.6094,4.0658
OPTIC 2000 NEMOURS,Autre,Île-de-France,"28 Place de la République, 77140 Nemours",48.2727,2.6912
OPTIC 2000 ROHRBACH-LES-BITCHE,Autre,Grand Est,"1 RUE DE LA PAIX, 57410 ROHRBACH-LES-BITCHE",49.0298,7.2703
Optic 2000 Roye / SARL Optic AVL,Autre,Hauts-de-France,Centre commercial Intermarché – 2 impasse moulin – 80700 Roye,49.7050,2.7754
OPTIC 2000 SAINT AVOLD (REMOTUM),Autre,Grand Est,Rue de la piscine 57500 Saint-Avold,49.1040,6.7043
Optic 2000 TARBES,Autre,Occitanie,"21 Rue Maréchal Foch, 65000 Tarbes",43.2335,0.0728
OPTIC 2000 YSSINGEAUX,Autre,Auvergne-Rhône-Alpes,"30-32 Rue des Fossés, 43200 YSSINGEAUX",45.1413,4.1212
OPTIC ÉCO ALBERTVILLE,Autre,Auvergne-Rhône-Alpes,"120 rue Louis Armand, 73200 Albertville",45.6735,6.3883
OPTIC FRANCOIS (OPTIC 2000 HAM),Autre,Hauts-de-France,7 RUE DE NOYON - 80400 HAM,49.7502,3.0735
OPTICAL CONSEIL STE GENEVIEVE DES BOIS,Autre,Île-de-France,"4 AVENUE DE LA CROIX BLANCHE, 91700 SAINTE-GENEVIEVE-DES-BOIS",48.6441,2.3410
OPTIKSTUDIO FORBACH,Autre,Grand Est,"27B Rue Nationale, 57600 Forbach",49.1880,6.9031
OPTIQUE DE LA BRESLE,Autre,Normandie,"16 PLACE DES MARCHES, 76390 AUMALE",49.7690,1.7542
OPTIQUE DES COTEAUX PECHBONNIEU,Autre,Occitanie,"11 Route de Saint Loup Cammas, 31140 Pechbonnieu",43.7079,1.4748
Optique Petre-Euvray,Autre,Grand Est,"16 rue de France, 88300 Neufchâteau",48.3556,5.6960
POINT 2 VUE LABASTIDETTE,Autre,Occitanie,"13 ROUTE PRINCIPALE, 31600 LABASTIDETTE",43.4972,1.2505
PURE BOURGES,Autre,Centre-Val de Loire,"25-27 RUE DE SARREBOURG, 18000 Bourges",47.0847,2.3847
SV OPTIQUE - Krys Amilly,Autre,Centre-Val de Loire,"27 rue Saint Jacques, 45200 Amilly",47.9743,2.8014
TONNEINS OPTIQUE,Autre,Nouvelle-Aquitaine,"Centre commercial Leclerc, 47400 Tonneins",44.3927,0.3093
